eta[0]   eta[1]   eta[2]   eta[3]   negative_log_lik
 0.176047   -0.721344    0.993245    1.103277    1227.563056
-0.219499   -0.396931    1.832581    0.871082    1979.006580
 0.131530   -0.684833    1.087707    1.077145    1295.336775
 0.170562   -0.716845    1.004883    1.100057    1235.686008
 0.175363   -0.720784    0.994694    1.102876    1228.571497
 0.175961   -0.721274    0.993425    1.103227    1227.688800
 0.176036   -0.721335    0.993267    1.103271    1227.578744
 0.176045   -0.721343    0.993247    1.103276    1227.565013
 0.176046   -0.721344    0.993245    1.103277    1227.563300
 0.176047   -0.721344    0.993245    1.103277    1227.563086
 0.176047   -0.721344    0.993245    1.103277    1227.563060
 0.176047   -0.721344    0.993245    1.103277    1227.563057
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
 0.176047   -0.721344    0.993245    1.103277    1227.563056
