eta[0]   eta[1]   eta[2]   eta[3]   negative_log_lik
 0.290616    0.165558    0.240131   -0.388158    1869.897194
-0.357147    0.460206    0.854655   -0.757001    3053.361920
 0.236230    0.190297    0.291726   -0.419126    1953.759599
 0.285549    0.167863    0.244938   -0.391043    1877.584269
 0.290139    0.165775    0.240583   -0.388429    1870.619365
 0.290571    0.165578    0.240173   -0.388183    1869.965196
 0.290612    0.165560    0.240135   -0.388160    1869.903599
 0.290616    0.165558    0.240131   -0.388158    1869.897797
 0.290616    0.165558    0.240131   -0.388158    1869.897251
 0.290616    0.165558    0.240131   -0.388158    1869.897199
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
 0.290616    0.165558    0.240131   -0.388158    1869.897194
